,TIC,ec_long,ec_lat,num_s,sec
0,42969,225.9868511033093,-10.269982049921518,3,"[38, 65, 91]"
1,82063,226.78493077071934,-8.984814473367779,4,"[11, 38, 65, 91]"
2,82066,226.78272451821292,-8.98423726620776,4,"[11, 38, 65, 91]"
3,34920,225.8102235402615,-10.636938563874399,3,"[38, 65, 91]"
4,58487,226.04103486490888,-8.7494824667006,3,"[38, 65, 91]"
5,39896,225.82177649389496,-10.14089883979374,3,"[38, 65, 91]"
6,93155,227.1377684425262,-9.06307863320179,4,"[11, 38, 65, 91]"
7,129383,227.67836961185145,-7.51612567230739,3,"[11, 38, 91]"
8,99010,227.57541496194034,-9.998530376915522,4,"[11, 38, 65, 91]"
9,102030,227.33682937080488,-8.856731972303837,4,"[11, 38, 65, 91]"
10,368759,278.25965282657455,2.345619726967465,1,[92]
11,16560023,274.97736672031766,12.065766807579111,3,"[80, 91, 92]"
12,20066082,143.2574029004551,-25.896364407611102,3,"[8, 35, 61]"
13,20072435,88.22923314965753,-61.53719200892733,5,"[5, 6, 32, 33, 87]"
14,20204058,208.52938222707206,51.06053432315135,6,"[23, 24, 50, 51, 77, 78]"
15,40102926,3.0560580535574884,-12.325428394183712,3,"[3, 30, 70]"
16,49934962,56.89004717663652,-21.147987713555718,1,[5]
17,56812239,184.08154678150345,-1.589442547675181,2,"[46, 91]"
18,72461450,198.3727781674674,23.32433283399616,2,"[23, 50]"
19,77490014,49.357402810964544,13.265862497125724,2,"[18, 85]"
20,558452,301.65873134140685,18.24011248671711,1,[81]
21,619444,204.66743708495673,1.1974097121732057,1,[91]
22,619638,204.41886551119404,1.9813786542753955,1,[91]
23,589826,64.38846705055582,-49.90438704861373,2,"[5, 32]"
24,621750,206.05186947682003,-1.583658852818001,1,[91]
25,681678,68.06355218688977,-47.94664596763278,2,"[5, 32]"
26,748290,301.63232285698325,15.157968658744664,2,"[54, 81]"
27,20297048,91.24388282270935,-60.98296554373123,5,"[5, 6, 32, 33, 87]"
28,20297375,91.26345425965627,-60.30874641829194,4,"[6, 32, 33, 87]"
29,20278256,276.40508901404496,16.69796470904921,1,[80]
30,20304188,210.95371899907906,52.45719788584064,5,"[24, 50, 51, 77, 78]"
