,TIC,sec,ec_long,ec_lat,num_s
7473,126890407,1,306.54445215834244,-25.787497707925475,4
7474,126890407,27,306.54445215834244,-25.787497707925475,4
7475,126890407,68,306.54445215834244,-25.787497707925475,4
7476,126890407,95,306.54445215834244,-25.787497707925475,4
7477,127092145,11,230.265497500335,-29.759403406465587,3
7478,127092145,38,230.265497500335,-29.759403406465587,3
7479,127092145,65,230.265497500335,-29.759403406465587,3
7480,151412067,6,91.7231772459497,-6.872862432215663,6
7481,151412067,33,91.7231772459497,-6.872862432215663,6
7482,151412067,43,91.7231772459497,-6.872862432215663,6
7483,151412067,44,91.7231772459497,-6.872862432215663,6
7484,151412067,71,91.7231772459497,-6.872862432215663,6
7485,151412067,72,91.7231772459497,-6.872862432215663,6
7486,176521059,6,86.78619201801287,-27.503116876871143,2
7487,176521059,33,86.78619201801287,-27.503116876871143,2
7488,176518865,6,86.89813953844786,-24.910826708991586,2
7489,176518865,33,86.89813953844786,-24.910826708991586,2
7490,176607817,8,142.16320827612242,-37.12110471470764,5
7491,176607817,34,142.16320827612242,-37.12110471470764,5
7492,176607817,35,142.16320827612242,-37.12110471470764,5
7493,176607817,61,142.16320827612242,-37.12110471470764,5
7494,176607817,88,142.16320827612242,-37.12110471470764,5
7495,102469293,9,183.3398366827598,-52.572382872812845,5
7496,102469293,10,183.3398366827598,-52.572382872812845,5
7497,102469293,36,183.3398366827598,-52.572382872812845,5
7498,102469293,63,183.3398366827598,-52.572382872812845,5
7499,102469293,90,183.3398366827598,-52.572382872812845,5
7500,127199595,11,229.6207629241128,-28.042943116976872,3
7501,127199595,38,229.6207629241128,-28.042943116976872,3
7502,127199595,65,229.6207629241128,-28.042943116976872,3
7503,127232950,6,85.23529866761785,-6.965797219610104,6
7504,127232950,43,85.23529866761785,-6.965797219610104,6
7505,127232950,44,85.23529866761785,-6.965797219610104,6
7506,127232950,45,85.23529866761785,-6.965797219610104,6
7507,127232950,71,85.23529866761785,-6.965797219610104,6
7508,127232950,72,85.23529866761785,-6.965797219610104,6
7509,151654299,92,278.38306138343245,-2.5036807322710706,1
