,TIC,ec_long,ec_lat,num_s,sec
1580,77121035,310.6409550095567,-1.4865923258081626,3,"[92, 116]"
1581,77151637,310.853696777584,-1.3348620196518186,2,"[92, 116]"
1582,18969225,273.63721235261823,26.37859177046648,2,"[80, 118]"
1583,38114367,171.31501505788955,-5.544642517284951,3,"[45, 46, 72]"
1584,38125059,149.5272679376645,-40.04242740415151,8,"[8, 35, 62, 89, 99, 109, 110, 111]"
1585,38086286,172.4425749266474,-8.777995228803,5,"[36, 45, 46, 63, 72]"
1586,38151942,150.027924179953,-40.8892129666049,8,"[8, 35, 62, 89, 99, 109, 110, 111]"
1587,38201845,332.1959792684212,2.865660535638528,3,"[42, 92, 116]"
1588,38161203,172.82638397187472,-5.50544919983816,3,"[45, 46, 72]"
1589,58473048,68.1125134106602,4.0212863694511105,4,"[43, 44, 70, 71]"
1590,58536474,209.8910651295249,-14.795611852895432,3,"[10, 37, 64]"
1591,58545061,68.1191533508025,2.779454365118191,4,"[43, 44, 70, 71]"
1592,77208811,56.956104497916066,-58.892507230765695,7,"[4, 5, 31, 32, 98, 106, 107]"
1593,77231053,54.8760138086231,-62.81425878780521,5,"[4, 5, 31, 32, 98]"
1594,77263680,56.14272836970803,-62.98827354128713,5,"[4, 5, 31, 32, 98]"
1595,77288515,59.37826067979548,-58.529118786661265,8,"[4, 5, 31, 32, 98, 106, 107, 108]"
1596,77288649,59.1748394828839,-58.98738723972373,8,"[4, 5, 31, 32, 98, 106, 107, 108]"
1597,97135074,293.1176681585404,-3.4512450409994493,2,"[92, 116]"
1598,97187032,355.65577324012764,18.65856707916764,2,"[56, 83]"
1599,19116828,119.08266132292313,-3.9693713572808638,5,"[44, 45, 46, 71, 72]"
1600,38245247,333.4030790426448,5.9314317691029474,3,"[42, 92, 116]"
1601,38254511,344.2640866059681,3.191359464663699,3,"[42, 70, 92]"
1602,38271828,344.85519817400126,3.8662872066259073,3,"[42, 70, 92]"
1603,38272044,345.2668147462286,4.762588682872497,3,"[42, 70, 92]"
1604,38350889,22.383919555231703,-9.75360747354857,6,"[3, 30, 42, 43, 70, 97]"
1605,58596146,210.77132664501036,-16.8023459700491,3,"[10, 37, 64]"
1606,58651139,244.61219382950952,-15.157144940741802,3,"[12, 65, 103]"
1607,58619656,291.6520326892428,21.04512063061373,2,"[54, 80]"
1608,58622002,291.54892742813047,20.63744258727917,2,"[54, 80]"
1609,58719427,211.39331650303714,-15.686019549112197,2,"[37, 64]"
1610,58715528,212.51589908160938,-18.464438629310482,3,"[37, 64, 102]"
1611,58715973,212.1678727413728,-17.657241255266957,2,"[64, 102]"
1612,58734758,3.8627946842995566,-0.2618172814719177,2,"[42, 70]"
1613,58677742,211.71208587703114,-17.209706382776854,2,"[37, 64]"
1614,77370782,61.85435843157903,-60.3117982911588,6,"[4, 5, 31, 32, 98, 107]"
1615,77371530,60.31525175732319,-62.974863654542055,5,"[4, 5, 31, 32, 98]"
1616,77390459,242.2276012741366,-5.777618712524919,3,"[91, 115, 116]"
1617,97273469,113.75953545702467,-54.05754575738159,9,"[7, 33, 34, 61, 87, 88, 108, 109, 110]"
1618,97369520,36.014056742746,3.92095306014639,4,"[42, 43, 70, 71]"
1619,38377077,29.26974281412722,-14.456175121090546,2,"[4, 97]"
1620,38391717,152.16966596675937,-42.576085762580945,9,"[8, 35, 62, 89, 99, 109, 110, 111, 112]"
1621,38425450,8.250943016065415,-76.25103894322392,22,"[1, 2, 3, 4, 5, 8, 11, 28, 29, 30, 31, 35, 38, 62, 64, 65, 68, 69, 89, 95, 96, 97]"
1622,38381642,5.314994506100688,-9.387856533680482,5,"[3, 30, 42, 43, 70]"
1623,38469670,358.21067925084964,-78.1510474375965,42,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 61, 62, 64, 65, 66, 67, 68, 69, 88, 89, 90, 93, 94, 95, 96, 97, 98]"
1624,38465250,50.238726033026,-27.782438068400737,3,"[4, 31, 109]"
1625,38471811,49.70114731159066,-30.51764245791174,4,"[4, 31, 108, 109]"
