Sector,Orbit,Start Time,End Time
47,102,2022-01-14 08:58:54,2022-01-27 10:28:54
48,103,2022-01-28 10:18:54,2022-02-11 02:58:53
48,104,2022-02-12 12:58:53,2022-02-25 11:38:53
49,105,2022-02-26 23:18:53,2022-03-11 22:38:52
49,106,2022-03-12 21:58:52,2022-03-25 19:28:52
50,107,2022-03-26 18:28:52,2022-04-02 17:58:51
50,107,2022-04-02 22:08:51,2022-04-08 21:38:51
50,108,2022-04-09 19:18:51,2022-04-22 00:08:51
51,109,2022-04-23 10:38:51,2022-05-05 04:38:50
51,110,2022-05-06 04:18:50,2022-05-18 00:48:50
52,111,2022-05-19 03:08:50,2022-05-20 16:58:49
52,111,2022-05-20 17:08:49,2022-05-30 19:08:49
52,112,2022-05-31 22:38:49,2022-06-12 13:48:49
53,113,2022-06-13 11:48:48,2022-06-25 11:48:48
53,114,2022-06-26 09:48:48,2022-07-08 11:28:47
54,115,2022-07-09 09:28:47,2022-07-21 19:58:47
54,116,2022-07-23 00:38:47,2022-08-04 14:58:46
55,117,2022-08-05 14:18:46,2022-08-18 10:58:46
55,118,2022-08-19 08:48:46,2022-09-01 18:18:45
56,119,2022-09-02 18:02:05,2022-09-09 05:22:05
56,119,2022-09-09 10:25:25,2022-09-16 00:18:45
56,120,2022-09-16 05:22:05,2022-09-23 09:02:04
56,120,2022-09-23 14:02:04,2022-09-30 15:18:44
57,121,2022-09-30 20:22:04,2022-10-08 01:48:44
57,121,2022-10-08 06:52:04,2022-10-10 18:45:24
57,121,2022-10-13 21:48:44,2022-10-14 17:52:04
57,122,2022-10-14 22:55:24,2022-10-22 02:32:03
57,122,2022-10-22 07:35:23,2022-10-29 14:42:03
58,123,2022-10-29 19:45:23,2022-11-05 22:08:43
58,123,2022-11-06 03:12:03,2022-11-12 13:18:42
58,124,2022-11-12 18:22:02,2022-11-19 21:12:02
58,124,2022-11-20 02:15:22,2022-11-26 13:08:42
59,125,2022-11-26 18:12:02,2022-12-03 05:48:42
59,125,2022-12-03 10:52:02,2022-12-04 06:28:42
59,125,2022-12-04 06:35:22,2022-12-09 20:18:41
59,126,2022-12-10 01:22:01,2022-12-16 18:38:41
59,126,2022-12-16 23:42:01,2022-12-23 04:28:41
60,127,2022-12-23 09:32:01,2022-12-30 04:52:01
60,127,2022-12-30 09:55:21,2023-01-05 06:22:00
60,128,2023-01-05 11:25:20,2023-01-05 11:48:40
60,128,2023-01-10 12:55:20,2023-01-11 17:48:40
60,128,2023-01-11 22:52:00,2023-01-18 01:58:40
61,129,2023-01-18 07:02:00,2023-01-24 19:58:40
61,129,2023-01-25 01:02:00,2023-01-30 16:41:59
61,130,2023-01-30 21:45:19,2023-02-06 16:31:59
61,130,2023-02-06 21:35:19,2023-02-12 17:21:59
62,131,2023-02-12 22:25:19,2023-02-19 09:08:39
62,131,2023-02-19 14:11:59,2023-02-25 10:08:38
62,132,2023-02-25 15:11:58,2023-03-04 00:48:38
62,132,2023-03-04 05:51:58,2023-03-10 15:38:38
63,133,2023-03-10 20:41:58,2023-03-17 16:28:38
63,133,2023-03-17 21:31:58,2023-03-23 21:21:57
63,134,2023-03-24 02:25:17,2023-03-30 14:08:37
63,134,2023-03-30 19:11:57,2023-04-06 09:31:57
64,135,2023-04-06 14:35:17,2023-04-13 14:41:56
64,135,2023-04-13 19:45:16,2023-04-20 06:01:56
64,135,2023-04-20 06:05:16,2023-04-20 13:51:56
64,136,2023-04-20 18:55:16,2023-04-27 17:11:56
64,136,2023-04-27 22:15:16,2023-05-03 12:41:56
65,137,2023-05-04 05:35:16,2023-05-11 11:11:55
65,137,2023-05-11 16:15:15,2023-05-18 23:21:55
65,138,2023-05-19 04:25:15,2023-05-22 23:11:55
65,138,2023-05-22 23:15:15,2023-05-25 18:01:55
65,138,2023-05-25 23:05:15,2023-06-01 02:05:15
66,139,2023-06-02 04:01:54,2023-06-09 09:18:34
66,139,2023-06-09 14:21:54,2023-06-16 11:21:54
66,140,2023-06-16 16:25:14,2023-06-23 13:48:34
66,140,2023-06-23 17:51:54,2023-06-28 17:45:13
66,140,2023-06-28 18:31:53,2023-06-30 22:11:53
67,141,2023-07-01 03:15:13,2023-07-07 14:41:53
67,141,2023-07-07 19:45:13,2023-07-14 17:58:33
67,142,2023-07-14 23:01:53,2023-07-22 04:51:53
67,142,2023-07-22 09:55:12,2023-07-28 21:28:32
68,143,2023-07-29 02:31:52,2023-08-05 06:28:32
68,143,2023-08-05 11:31:52,2023-08-11 18:28:32
68,144,2023-08-11 23:31:52,2023-08-18 12:31:51
68,144,2023-08-18 16:35:11,2023-08-25 15:18:31
69,145,2023-08-25 20:21:51,2023-08-27 19:48:31
69,145,2023-08-27 20:28:31,2023-08-31 16:21:51
69,145,2023-08-31 21:25:11,2023-09-07 11:48:31
69,146,2023-09-07 16:51:51,2023-09-14 00:18:30
69,146,2023-09-14 05:21:50,2023-09-20 15:18:30
70,147,2023-09-20 20:21:50,2023-09-27 01:01:50
70,147,2023-09-27 06:05:10,2023-10-03 14:58:30
70,148,2023-10-03 20:01:50,2023-10-09 22:31:49
70,148,2023-10-10 03:35:09,2023-10-16 07:38:29
71,149,2023-10-16 12:41:49,2023-10-22 23:48:29
71,149,2023-10-23 04:51:49,2023-10-29 12:08:29
71,150,2023-10-29 17:11:49,2023-11-04 20:51:48
71,150,2023-11-05 01:55:08,2023-11-11 11:11:48
72,151,2023-11-11 16:15:08,2023-11-17 20:18:28
72,151,2023-11-18 01:21:48,2023-11-24 11:58:28
72,152,2023-11-24 17:01:48,2023-11-30 19:48:27
72,152,2023-12-01 00:51:47,2023-12-07 01:58:27
73,153,2023-12-07 07:01:47,2023-12-13 18:21:47
73,153,2023-12-13 23:25:07,2023-12-20 10:31:47
73,154,2023-12-20 15:35:07,2023-12-25 05:35:06
73,154,2023-12-27 16:31:46,2024-01-03 03:31:46
74,155,2024-01-03 08:35:06,2024-01-09 18:08:26
74,155,2024-01-09 23:11:46,2024-01-16 08:18:25
74,156,2024-01-16 13:21:45,2024-01-23 10:41:45
74,156,2024-01-23 14:45:05,2024-01-30 01:38:25
75,157,2024-01-30 06:41:45,2024-02-05 16:11:45
75,157,2024-02-05 21:15:05,2024-02-13 01:18:24
75,158,2024-02-13 06:21:44,2024-02-19 14:51:44
75,158,2024-02-19 19:55:04,2024-02-26 23:31:44
76,159,2024-02-27 04:35:04,2024-03-04 13:58:23
76,159,2024-03-04 19:01:43,2024-03-11 21:11:43
76,160,2024-03-12 02:15:03,2024-03-18 20:48:23
76,160,2024-03-19 01:51:43,2024-03-25 06:38:23
77,161,2024-03-25 23:31:43,2024-04-01 19:51:42
77,161,2024-04-02 00:55:04,2024-04-06 14:56:00
77,162,2024-04-16 15:26:23,2024-04-23 01:09:42
78,163,2024-05-03 18:19:42,2024-05-07 03:49:42
78,164,2024-05-07 08:49:42,2024-05-14 18:29:41
78,164,2024-05-14 23:29:41,2024-05-19 02:46:21
79,165,2024-05-22 00:46:21,2024-05-28 15:49:41
79,165,2024-05-28 20:49:41,2024-06-04 02:23:00
79,166,2024-06-04 07:26:20,2024-06-11 14:39:40
79,166,2024-06-11 19:39:40,2024-06-18 04:09:40
80,167,2024-06-18 09:09:40,2024-06-24 22:53:00
80,167,2024-06-25 03:56:20,2024-07-01 20:12:59
80,168,2024-07-02 01:16:19,2024-07-08 11:52:59
80,168,2024-07-08 16:49:39,2024-07-14 20:02:59
81,169,2024-07-15 01:06:19,2024-07-21 21:12:59
81,169,2024-07-22 02:16:19,2024-07-27 17:06:18
81,170,2024-07-28 06:46:18,2024-08-03 14:32:58
81,170,2024-08-03 19:36:18,2024-08-10 16:12:58
82,171,2024-08-10 21:16:18,2024-08-16 18:12:57
82,171,2024-08-16 23:16:17,2024-08-22 23:02:57
82,172,2024-08-23 04:06:17,2024-08-29 15:52:57
82,172,2024-08-29 20:56:17,2024-09-05 17:52:57
83,173,2024-09-05 22:06:17,2024-09-08 12:09:37
83,173,2024-09-08 12:49:37,2024-09-11 08:02:56
83,173,2024-09-11 12:36:16,2024-09-18 04:59:36
83,174,2024-09-18 09:59:36,2024-09-24 07:32:56
83,174,2024-09-24 12:36:16,2024-09-30 20:59:36
84,175,2024-10-01 01:59:36,2024-10-07 06:49:35
84,175,2024-10-07 11:49:35,2024-10-11 22:12:55
84,175,2024-10-11 23:02:55,2024-10-13 19:09:35
84,176,2024-10-14 00:09:35,2024-10-20 11:22:55
84,176,2024-10-20 16:26:15,2024-10-26 20:09:35
85,177,2024-10-27 01:09:35,2024-11-02 11:32:54
85,177,2024-11-02 16:36:14,2024-11-08 17:32:54
85,178,2024-11-08 22:36:14,2024-11-15 06:02:54
85,178,2024-11-15 11:06:14,2024-11-21 13:02:54
86,179,2024-11-21 18:06:14,2024-11-28 06:02:53
86,179,2024-11-28 11:06:13,2024-12-05 02:32:53
86,180,2024-12-05 07:36:13,2024-12-11 07:49:33
86,180,2024-12-11 12:49:33,2024-12-18 07:49:33
87,181,2024-12-18 12:49:32,2024-12-25 00:19:32
87,181,2024-12-25 05:19:32,2024-12-31 22:32:52
87,182,2025-01-01 03:36:12,2025-01-07 23:22:52
87,182,2025-01-08 04:26:12,2025-01-14 10:29:31
88,183,2025-01-14 15:29:31,2025-01-21 06:39:31
88,183,2025-01-21 11:39:31,2025-01-28 09:19:31
88,184,2025-01-28 14:19:31,2025-02-04 21:29:31
88,184,2025-02-05 02:29:31,2025-02-11 10:09:30
89,185,2025-02-11 15:09:30,2025-02-19 01:02:50
89,185,2025-02-19 06:06:10,2025-02-26 10:39:30
89,186,2025-02-26 15:39:30,2025-03-05 04:49:29
89,186,2025-03-05 09:49:29,2025-03-12 10:39:29
90,187,2025-03-12 15:39:29,2025-03-19 04:12:49
90,187,2025-03-19 09:16:09,2025-03-25 17:32:49
90,188,2025-03-26 10:36:09,2025-04-02 16:32:48
90,188,2025-04-02 21:36:08,2025-04-09 13:49:28
91,189,2025-04-09 18:49:28,2025-04-16 19:32:48
91,189,2025-04-17 00:36:08,2025-04-17 03:29:28
91,189,2025-04-18 19:26:08,2025-04-18 19:42:48
91,189,2025-04-20 22:22:48,2025-04-23 18:09:27
91,190,2025-04-23 22:09:27,2025-04-30 13:52:47
91,190,2025-04-30 18:56:07,2025-05-07 06:09:27
92,191,2025-05-07 11:09:27,2025-05-14 00:09:27
92,192,2025-05-21 04:29:26,2025-05-27 10:32:46
93,193,2025-06-03 08:26:06,2025-06-09 19:49:26
94,195,2025-06-29 18:09:25,2025-07-05 19:39:24
94,196,2025-07-12 10:29:24,2025-07-19 07:29:24
95,198,2025-08-07 08:59:23,2025-08-07 23:26:03
95,198,2025-08-07 23:32:43,2025-08-13 14:22:43
96,199,2025-08-20 06:26:03,2025-08-26 16:32:42
#  Created 2025-10-09 by roland
