#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-08-11 16:33:41.886018 UTC, 1342.19086885, 1218040440.0, 82610, 5507
2018-08-14 04:17:41.800630 UTC, 1344.67975675, 1218255480.0, 84402, 5626
2018-08-14 04:19:41.800582 UTC, 1344.68114564, 1218255600.0, 84403, 5626
2018-08-14 04:21:41.800535 UTC, 1344.68253453, 1218255720.0, 84404, 5626
2018-08-14 04:23:41.800487 UTC, 1344.68392342, 1218255840.0, 84405, 5626
2018-08-14 04:25:41.800439 UTC, 1344.68531231, 1218255960.0, 84406, 5626
2018-08-14 04:27:41.800392 UTC, 1344.68670120, 1218256080.0, 84407, 5626
2018-08-14 04:29:41.800344 UTC, 1344.68809008, 1218256200.0, 84408, 5627
2018-08-14 04:31:41.800297 UTC, 1344.68947897, 1218256320.0, 84409, 5627
2018-08-14 04:33:41.800249 UTC, 1344.69086786, 1218256440.0, 84410, 5627
2018-08-16 16:17:41.714861 UTC, 1347.17975576, 1218471480.0, 86202, 5746
2018-08-16 16:19:41.714814 UTC, 1347.18114465, 1218471600.0, 86203, 5746
2018-08-16 16:21:41.714766 UTC, 1347.18253354, 1218471720.0, 86204, 5746
2018-08-16 16:23:41.714718 UTC, 1347.18392243, 1218471840.0, 86205, 5746
2018-08-16 16:25:41.714671 UTC, 1347.18531131, 1218471960.0, 86206, 5746
2018-08-16 16:27:41.714623 UTC, 1347.18670020, 1218472080.0, 86207, 5746
2018-08-16 16:29:41.714575 UTC, 1347.18808909, 1218472200.0, 86208, 5747
2018-08-16 16:31:41.714528 UTC, 1347.18947798, 1218472320.0, 86209, 5747
2018-08-16 16:33:41.714480 UTC, 1347.19086687, 1218472440.0, 86210, 5747
2018-08-19 04:17:41.629092 UTC, 1349.67975477, 1218687480.0, 88002, 5866
2018-08-19 04:19:41.629045 UTC, 1349.68114366, 1218687600.0, 88003, 5866
2018-08-19 04:21:41.628997 UTC, 1349.68253254, 1218687720.0, 88004, 5866
2018-08-19 04:23:41.628949 UTC, 1349.68392143, 1218687840.0, 88005, 5866
2018-08-19 04:25:41.628902 UTC, 1349.68531032, 1218687960.0, 88006, 5866
2018-08-19 04:27:41.628854 UTC, 1349.68669921, 1218688080.0, 88007, 5866
2018-08-19 04:29:41.628806 UTC, 1349.68808810, 1218688200.0, 88008, 5867
2018-08-19 04:31:41.628759 UTC, 1349.68947699, 1218688320.0, 88009, 5867
2018-08-19 04:33:41.628711 UTC, 1349.69086587, 1218688440.0, 88010, 5867
2018-08-21 16:17:41.543323 UTC, 1352.17975377, 1218903480.0, 89802, 5986
2018-08-21 16:19:41.543276 UTC, 1352.18114266, 1218903600.0, 89803, 5986
2018-08-21 16:21:41.543228 UTC, 1352.18253155, 1218903720.0, 89804, 5986
2018-08-21 16:23:41.543181 UTC, 1352.18392044, 1218903840.0, 89805, 5986
2018-08-21 16:25:41.543133 UTC, 1352.18530933, 1218903960.0, 89806, 5986
2018-08-21 16:27:41.543085 UTC, 1352.18669822, 1218904080.0, 89807, 5986
2018-08-21 16:29:41.543038 UTC, 1352.18808710, 1218904200.0, 89808, 5987
2018-08-21 16:31:41.542990 UTC, 1352.18947599, 1218904320.0, 89809, 5987
2018-08-21 16:33:41.542942 UTC, 1352.19086488, 1218904440.0, 89810, 5987
2018-08-23 14:09:41.477558 UTC, 1354.09086412, 1219068600.0, 91178, 6078
2018-08-23 14:11:41.477510 UTC, 1354.09225301, 1219068720.0, 91179, 6078
2018-08-23 14:13:41.477462 UTC, 1354.09364190, 1219068840.0, 91180, 6078
2018-08-23 14:15:41.477413 UTC, 1354.09503079, 1219068960.0, 91181, 6078
2018-08-23 14:17:41.477365 UTC, 1354.09641968, 1219069080.0, 91182, 6078
